id	type	files
 1	 res
 2	 res	bchydro.com-consumption-XXXXXXXX9636-2019-01-08-200013,bchydro.com-consumption-XXXXXXXX9636-2019-11-22-072543
 3	 res	bchydro.com-consumption-XXXXXXXX6762-2018-01-31-020007
 4	 res	bchydro.com-consumption-XXXXXXXX6725-2018-01-30-140005
 5	 res	bchydro.com-consumption-XXXXXXXX5127-2018-01-31-020005
 6	 res	bchydro.com-consumption-XXXXXXXX6332-2018-01-31-020008
 7	 res	bchydro.com-consumption-XXXXXXXX8052-2018-01-30-140007
 8	 res	bchydro.com-consumption-XXXXXXXX3393-2018-02-21-140017
 9	 res	bchydro.com-consumption-XXXXXXXX3297-2018-02-22-200015
10	 res	bchydro.com-consumption-XXXXXXXX3701-2018-02-21-200009
11	 res	bchydro.com-consumption-XXXXXXXX1956-2018-02-21-200012
12	 res	bchydro.com-consumption-XXXXXXXX0715-2018-02-21-140013
13	 res	bchydro.com-consumption-XXXXXXXX1856-2018-02-21-200012
14	 res	bchydro.com-consumption-XXXXXXXX4918-2018-02-21-200011
15	 res	bchydro.com-consumption-XXXXXXXX5366-2018-02-21-200011
16	 res	bchydro.com-consumption-XXXXXXXX5561-2018-02-23-094403,bchydro.com-consumption-XXXXXXXX5561-2019-02-19-200008
17	 res	bchydro.com-consumption-XXXXXXXX6606-2018-02-23-140006
18	 res	bchydro.com-consumption-XXXXXXXX6380-2018-03-16-140005
19	 res	bchydro.com-consumption-XXXXXXXX0101-2018-03-26-200014
20	 res	bchydro.com-consumption-XXXXXXXX9897-2018-04-21-200015
21	 res	bchydro.com-consumption-XXXXXXXX1228-2018-06-05-091551
22	 res	bchydro.com-consumption-XXXXXXXX5285-2018-06-06-200010
23	 res	bchydro.com-consumption-XXXXXXXh0023-2020-04-06-140008
24	 res	bchydro.com-consumption-XXXXXXXX0515-2020-05-13-200008
